"","league","team","top","jungle","mid","adc","support","result","side","ave_attack","ave_defense","ave_magic","ave_difficulty"
"11","LPL","Invictus Gaming","Aatrox","Qiyana","Rumble","Senna","Braum",1,"blue",5.8,4.6,5,6.4
"12","LPL","Invictus Gaming","Aatrox","Qiyana","Orianna","Varus","Braum",0,"blue",6,4.2,4.8,4.8
"13","LPL","LGD Gaming","Renekton","Gragas","Irelia","Aphelios","Braum",1,"blue",5.6,5.4,3.6,5.2
"14","LPL","Invictus Gaming","Ornn","Qiyana","Orianna","Varus","Braum",1,"blue",5.4,5.2,4.8,5
"15","LPL","LNG Esports","Aatrox","JarvanIV","Zoe","MissFortune","Leona",1,"blue",5.4,5.8,4.4,3.8
"16","LPL","LGD Gaming","Aatrox","RekSai","Leblanc","Aphelios","Leona",0,"blue",5.4,4.6,3.8,6
"17","LPL","eStar","Mordekaiser","Olaf",NA,"Aphelios","Leona",1,"blue",5.75,5.25,3.5,5.25
"18","LPL","Rogue Warriors","Ornn",NA,"Pantheon","MissFortune","Thresh",0,"blue",6.75,5.25,4.25,4.25
"19","LPL","Oh My God","Aatrox","JarvanIV","Cassiopeia","Aphelios","Braum",0,"blue",5,5.2,4,6.4
"20","LPL","Oh My God","Ornn","Elise","Irelia","Aphelios","Thresh",0,"blue",5.8,5.2,4.4,7.2
"21","LPL","Vici Gaming","Ornn","Gragas","Jayce","MissFortune","Leona",0,"blue",5.8,6,4,4.4
"22","LPL","Bilibili Gaming","Camille","Qiyana","Orianna","Aphelios","Thresh",0,"blue",6.2,3.8,4.6,7.2
"23","LPL","Vici Gaming","Ornn","Elise","Irelia","Kaisa","Leona",0,"blue",6,6.2,4.2,5.8
"24","LPL","Invictus Gaming","Kennen","Qiyana","Ekko","Varus","Braum",1,"blue",5.8,4.2,5.2,5
"25","LPL","Dominus Esports",NA,"LeeSin","Leblanc","Varus","Leona",0,"blue",5,5,5,5.25
"26","LPL","Victory Five","Kennen","Olaf","Ryze","Lucian","Braum",0,"blue",5.6,5,5.4,4.6
"27","LPL","Victory Five",NA,"LeeSin","Lucian","MissFortune","Nautilus",0,"blue",7,4.5,4.25,4.75
"28","LPL","Rogue Warriors","Aatrox","Gragas","Ryze","MissFortune","Leona",1,"blue",5.2,4.6,5.4,4.2
"29","LPL","Suning","Mordekaiser","LeeSin","Rumble","MissFortune","Leona",0,"blue",5.4,5.4,5.2,5
"30","LPL","FunPlus Phoenix","Renekton","RekSai","Ryze","Aphelios","Nautilus",0,"blue",5.6,4,4.2,5.8
"31","LPL","FunPlus Phoenix","Fiora","LeeSin",NA,"Aphelios","Braum",1,"blue",6.75,5,2.5,5.5
"32","LPL","eStar","Kennen","JarvanIV","Rumble","MissFortune","Leona",1,"blue",5.4,5.6,5.2,4.8
"33","LPL","LNG Esports","Sett","RekSai","Rumble","Aphelios","Thresh",0,"blue",6,4.8,3.6,6.4
"34","LPL","Top Esports","Mordekaiser","LeeSin","Zoe","Senna","Rakan",1,"blue",4.4,4.8,6.4,5.4
"35","LPL","JD Gaming","Sett","Nidalee","Qiyana","Varus","Braum",1,"blue",6.2,4.6,4,4.6
"36","LPL","Team WE","Gangplank","Qiyana","Zoe","MissFortune","Braum",0,"blue",5.4,5.2,5,5.2
"37","LPL","Bilibili Gaming","Aatrox","Gragas","Lucian","Varus","Braum",0,"blue",6,5.6,4,4
"38","LPL","Royal Never Give Up","Aatrox","LeeSin","Leblanc","MissFortune","Morgana",0,"blue",5.2,4.2,5.8,4.2
"39","LPL","Bilibili Gaming","Aatrox",NA,"Rumble","Senna","Braum",1,"blue",5.25,5.25,5.25,6
"40","LPL","Vici Gaming","Aatrox","Qiyana","Rumble","Senna","Braum",0,"blue",5.8,4.6,5,6.4
"41","LPL","Vici Gaming","Renekton","JarvanIV","Rumble","Lucian","Nautilus",1,"blue",5.8,6,4.4,6
"42","LPL","Vici Gaming","Kennen","Elise","Lucian","MissFortune","Leona",1,"blue",6.4,4.8,5,4.8
"43","LPL","EDward Gaming","Aatrox","LeeSin","Diana","Senna","Leona",1,"blue",6.8,5,4.6,5
"44","LPL","Top Esports","Mordekaiser","RekSai","Orianna","Senna","Braum",1,"blue",5.2,5,5.6,4.8
"45","LPL","EDward Gaming",NA,"Elise","Pantheon","Aphelios","Nautilus",0,"blue",6.25,4.25,4.25,7.25
"54","LEC","G2 Esports","Aatrox","Elise",NA,"Senna","Nautilus",1,"blue",6.25,4.25,5.5,6.5
"55","LEC","SK Gaming","Ornn","RekSai",NA,"Aphelios","Braum",1,"blue",5.5,6.25,2.5,5.25
"56","LEC","Rogue",NA,"Gragas",NA,"Aphelios","Braum",1,"blue",4.33333333333333,6,3.66666666666667,6
"57","LEC","Excel Esports","Mordekaiser","Gragas",NA,"Varus","Braum",1,"blue",4.5,6.25,5.25,3.5
"58","LEC","Fnatic",NA,NA,NA,"Aphelios","Braum",0,"blue",4.5,5.5,2.5,6.5
"64","LEC","Team Vitality",NA,"RekSai","Cassiopeia","Varus","Braum",0,"blue",5,5,4.75,4.5
"66","LEC","Excel Esports","Ornn",NA,NA,"Aphelios","Nautilus",0,"blue",5,5.66666666666667,3.33333333333333,7
"68","LEC","Origen",NA,"Gragas","Leblanc","Senna","Nautilus",1,"blue",4,4.75,7,6.75
"70","LEC","Fnatic","Aatrox","Gragas",NA,"Aphelios","Braum",1,"blue",5.25,5.5,3.5,5.5
"72","LEC","SK Gaming","Ornn","JarvanIV","Cassiopeia","MissFortune","Leona",0,"blue",5,6,4.6,5
"73","LCS","Cloud9","Aatrox","LeeSin",NA,"Aphelios","TahmKench",1,"blue",6.25,5,3.25,6.25
"74","LCS","Counter Logic Gaming","Ornn","RekSai","Cassiopeia","Senna","Leona",0,"blue",5.2,5.4,4.6,5.8
"75","LCS","100 Thieves","Gangplank","Gragas","Zoe","MissFortune","Leona",1,"blue",4.8,6,5.2,4.8
"76","LCS","Immortals","Aatrox","Trundle",NA,NA,"Thresh",0,"blue",6.66666666666667,5.33333333333333,3.66666666666667,5.33333333333333
"82","LCS","Dignitas","Gangplank","LeeSin","Orianna","Senna","Braum",1,"blue",5.8,5,5.2,6.4
"83","LCS","Team SoloMid",NA,"LeeSin","Leblanc","Senna","TahmKench",0,"blue",4.75,5,6.25,6.75
"84","LCS","Golden Guardians","Aatrox","RekSai",NA,"Senna","TahmKench",0,"blue",6.5,5,4.25,4.75
"85","LCS","FlyQuest","Aatrox","RekSai","Rumble","Aphelios","Leona",1,"blue",5.8,5,3.4,6.2
"90","LCS","Evil Geniuses","Mordekaiser","LeeSin","Leblanc","Senna","TahmKench",1,"blue",4.6,5.2,6.4,6.2
"91","LCS","Team Liquid","Ornn","JarvanIV","Orianna","Xayah","Rakan",1,"blue",5.4,6,4.8,5.4
"109","LEC","Origen","Aatrox","Gragas",NA,"Syndra","Nautilus",1,"blue",4.5,5,6,5.75
"110","LEC","SK Gaming","Ornn","JarvanIV","Zoe","MissFortune","Rakan",0,"blue",4.4,6,5.4,4.2
"111","LEC","Team Vitality","Ornn","Gragas",NA,"Senna","Braum",0,"blue",4.75,6.75,4.75,5
"112","LEC","Excel Esports","Gangplank","Gragas",NA,"Xayah","Rakan",1,"blue",5.75,5.75,4.75,6
"113","LEC","FC Schalke 04 Esports","Aatrox","JarvanIV","Leblanc","Senna","Braum",0,"blue",5,5.4,5.2,5.6
"132","LEC","Excel Esports","Sett","JarvanIV",NA,"Xayah","Rakan",0,"blue",6.5,5.75,3.25,4.25
"134","LEC","FC Schalke 04 Esports","Aatrox","Gragas","Leblanc","Senna","Braum",0,"blue",4.6,5.2,5.8,5.6
"136","LEC","Rogue","Ornn","JarvanIV","Azir","Senna","Braum",1,"blue",5.4,6.2,4.8,5.8
"138","LEC","SK Gaming","Gangplank",NA,NA,"MissFortune","Braum",0,"blue",6,5.66666666666667,4.33333333333333,4.33333333333333
"140","LEC","G2 Esports",NA,"LeeSin","Leblanc","Senna","Thresh",1,"blue",5.25,4.25,6.25,7.25
"141","LCS","Counter Logic Gaming",NA,"RekSai",NA,"Aphelios","Leona",0,"blue",6,5,2,5.66666666666667
"142","LCS","Dignitas","Gangplank","JarvanIV","Orianna","Aphelios","Thresh",1,"blue",5.6,5,4.6,7.6
"143","LCS","Cloud9","Gangplank","Elise",NA,"Senna","TahmKench",1,"blue",5.75,5.5,5.75,7.5
"144","LCS","Evil Geniuses","Aatrox","RekSai","Orianna",NA,"TahmKench",0,"blue",5.75,5.25,5,4.75
"158","LCS","Team Liquid","Ornn","JarvanIV","Zoe","Aphelios","Braum",1,"blue",4.2,7,3.8,5.6
"159","LCS","Evil Geniuses","Aatrox","Kindred","Leblanc","Aphelios","Thresh",0,"blue",5.6,3.6,4.4,6.8
"160","LCS","100 Thieves","Aatrox","JarvanIV","Leblanc","MissFortune","Leona",0,"blue",5.4,5.2,4.8,4.6
"161","LCS","Immortals","Sett","RekSai","Syndra","Xayah","Rakan",1,"blue",6,4.6,4.2,4.6
"170","LCS","FlyQuest","Aatrox","JarvanIV","Rumble","Senna",NA,1,"blue",6,5,5,6.5
"173","LCS","Team SoloMid","Ornn",NA,"Syndra","Xayah","Rakan",1,"blue",4.75,5.5,5.25,5.75
"185","LCK","T1","Sett","Gragas","Rumble","MissFortune","Leona",0,"blue",5.4,5.6,4.6,4.4
"186","LCK","DAMWON Gaming","Sett","LeeSin","Ornn","Xayah","Rakan",0,"blue",6.6,5.8,3.2,4.6
"187","LCK","T1","Sett","Gragas",NA,"MissFortune","Blitzcrank",1,"blue",6,5.5,4.25,3
"188","LCK","KT Rolster","Aatrox","JarvanIV","Ornn","Aphelios","TahmKench",1,"blue",5.6,6.4,3.2,5.8
"189","LCK","Gen.G","Ornn","LeeSin","Zoe","Kalista","Taric",1,"blue",5.2,6.2,4.6,5.2
"190","LCK","KT Rolster","Sett","Elise","Rumble","Ezreal","Yuumi",0,"blue",5.8,3.8,6,6
"198","LCK","SANDBOX Gaming","Sett","RekSai","Zoe",NA,"Thresh",1,"blue",5.5,5.75,4.25,4.25
"200","LCK","SeolHaeOne Prince","Sett","LeeSin","Viktor","MissFortune","Leona",0,"blue",6,4.8,4.4,4.4
"202","LCK","Griffin","Ornn","LeeSin","Sett","Senna","Thresh",0,"blue",6.6,5.4,3.8,5.4
"203","LCK","Afreeca Freecs","Kennen","JarvanIV","Viktor","Ashe",NA,1,"blue",5.25,4.75,5.5,5.5
"214","LCK","Hanwha Life Esports","Sett",NA,"Rumble","MissFortune",NA,1,"blue",6.33333333333333,4.33333333333333,4.66666666666667,4.33333333333333
"217","LCK","T1","Sett","Gragas","Cassiopeia","MissFortune","Nautilus",1,"blue",5.2,4.6,5.4,4.8
"219","LCK","Hanwha Life Esports","Soraka","Olaf","Ornn","Aphelios","Yuumi",1,"blue",5.4,4.4,4.4,4.6
"222","LCK","DRX","Sett","Gragas","Qiyana",NA,"TahmKench",0,"blue",5.75,5.75,4.25,5
"224","LCK","KT Rolster","Renekton","Elise","Zoe","MissFortune","Leona",0,"blue",5.4,5.4,5,4.4
"226","LCK","DRX","Aatrox","RekSai","Cassiopeia","Aphelios","Alistar",1,"blue",6,4.6,4,6.8
"231","LEC","MAD Lions","Gangplank","LeeSin","Leblanc","MissFortune","Bard",1,"blue",5.6,4.2,5.4,6.8
"233","LEC","FC Schalke 04 Esports","Mordekaiser","JarvanIV","Zoe","MissFortune","Nautilus",0,"blue",4.6,5.8,5.8,4.2
"234","LEC","Fnatic",NA,"Olaf","Syndra","MissFortune","Thresh",1,"blue",6,4,5.75,4.75
"235","LEC","Team Vitality","Aatrox","Gragas","Zoe","Aphelios","Nautilus",0,"blue",4.6,5.2,4.8,6
"236","LEC","Rogue","Aatrox","LeeSin","Leblanc","Senna","TahmKench",0,"blue",5.4,4.8,5.6,6.2
"248","LCK","SeolHaeOne Prince","Rumble","Olaf","Qiyana","Aphelios","Thresh",0,"blue",6.2,4.2,4.4,7.6
"251","LCK","DAMWON Gaming","Aatrox","LeeSin","Leblanc","Aphelios","Nautilus",1,"blue",5.4,4.2,4.6,7
"254","LCK","Gen.G","Ornn","JarvanIV","Zoe","Kalista","Taric",1,"blue",4.8,6.8,4.6,5
"258","LCK","Griffin","Sett","JarvanIV","Syndra","MissFortune","Braum",0,"blue",5.4,5.4,4.4,3.8
"267","LEC","FC Schalke 04 Esports","Aatrox","RekSai",NA,"MissFortune","Thresh",0,"blue",7.25,4.25,4,3.75
"269","LEC","Excel Esports","Chogath","RekSai",NA,"Aphelios","Thresh",1,"blue",5.5,5,4,6.25
