"","Champion","Games Won","Total Games","Win Rate","Region"
"1","Aatrox","66","129","0.511627906976744","LPL"
"2","Aatrox","35","80","0.4375","LCK"
"3","Aatrox","26","59","0.440677966101695","LCS"
"4","Aatrox","15","32","0.46875","LEC"
"5","Renekton","120","219","0.547945205479452","LPL"
"6","Renekton","28","50","0.56","LCK"
"7","Renekton","11","25","0.44","LCS"
"8","Renekton","13","19","0.684210526315789","LEC"
"9","Ornn","111","213","0.52112676056338","LPL"
"10","Ornn","60","107","0.560747663551402","LCK"
"11","Ornn","30","60","0.5","LCS"
"12","Ornn","17","38","0.447368421052632","LEC"
"13","Mordekaiser","55","114","0.482456140350877","LPL"
"14","Mordekaiser","11","38","0.289473684210526","LCK"
"15","Mordekaiser","11","21","0.523809523809524","LCS"
"16","Mordekaiser","5","10","0.5","LEC"
"17","Camille","14","35","0.4","LPL"
"18","Camille","25","38","0.657894736842105","LCK"
"19","Camille","7","14","0.5","LCS"
"20","Camille","5","11","0.454545454545455","LEC"
"21","Kennen","22","42","0.523809523809524","LPL"
"22","Kennen","34","66","0.515151515151515","LCK"
"23","Kennen","6","14","0.428571428571429","LCS"
"24","Kennen","0","0","NaN","LEC"
"25","Fiora","7","9","0.777777777777778","LPL"
"26","Fiora","0","0","NaN","LCK"
"27","Fiora","0","0","NaN","LCS"
"28","Fiora","0","0","NaN","LEC"
"29","Sett","84","174","0.482758620689655","LPL"
"30","Sett","55","98","0.561224489795918","LCK"
"31","Sett","29","55","0.527272727272727","LCS"
"32","Sett","21","44","0.477272727272727","LEC"
"33","Gangplank","23","42","0.547619047619048","LPL"
"34","Gangplank","7","13","0.538461538461538","LCK"
"35","Gangplank","17","33","0.515151515151515","LCS"
"36","Gangplank","18","37","0.486486486486487","LEC"
"37","Soraka","0","0","NaN","LPL"
"38","Soraka","6","10","0.6","LCK"
"39","Soraka","0","0","NaN","LCS"
"40","Soraka","0","0","NaN","LEC"
"41","Rumble","36","73","0.493150684931507","LPL"
"42","Rumble","18","40","0.45","LCK"
"43","Rumble","5","9","0.555555555555556","LCS"
"44","Rumble","0","0","NaN","LEC"
"45","Chogath","0","0","NaN","LPL"
"46","Chogath","0","0","NaN","LCK"
"47","Chogath","0","0","NaN","LCS"
"48","Chogath","6","9","0.666666666666667","LEC"
"49","Illaoi","0","0","NaN","LPL"
"50","Illaoi","3","8","0.375","LCK"
"51","Illaoi","0","0","NaN","LCS"
"52","Illaoi","0","0","NaN","LEC"
"53","Lucian","6","25","0.24","LPL"
"54","Lucian","16","35","0.457142857142857","LCK"
"55","Lucian","0","0","NaN","LCS"
"56","Lucian","0","0","NaN","LEC"
"57","Akali","5","13","0.384615384615385","LPL"
"58","Akali","29","43","0.674418604651163","LCK"
"59","Akali","0","0","NaN","LCS"
"60","Akali","6","10","0.6","LEC"
"61","Gnar","9","16","0.5625","LPL"
"62","Gnar","7","18","0.388888888888889","LCK"
"63","Gnar","0","0","NaN","LCS"
"64","Gnar","0","0","NaN","LEC"
"65","Irelia","9","14","0.642857142857143","LPL"
"66","Irelia","7","17","0.411764705882353","LCK"
"67","Irelia","0","0","NaN","LCS"
"68","Irelia","0","0","NaN","LEC"
"69","Vladimir","0","0","NaN","LPL"
"70","Vladimir","0","0","NaN","LCK"
"71","Vladimir","0","0","NaN","LCS"
"72","Vladimir","5","5","1","LEC"
"73","Sylas","48","101","0.475247524752475","LPL"
"74","Sylas","31","61","0.508196721311475","LCK"
"75","Sylas","0","0","NaN","LCS"
"76","Sylas","0","0","NaN","LEC"
"77","Maokai","17","34","0.5","LPL"
"78","Maokai","0","0","NaN","LCK"
"79","Maokai","0","0","NaN","LCS"
"80","Maokai","4","6","0.666666666666667","LEC"
"81","Jayce","24","60","0.4","LPL"
"82","Jayce","30","43","0.697674418604651","LCK"
"83","Jayce","5","12","0.416666666666667","LCS"
"84","Jayce","0","0","NaN","LEC"
"85","Karma","22","64","0.34375","LPL"
"86","Karma","27","50","0.54","LCK"
"87","Karma","4","11","0.363636363636364","LCS"
